X;Y;REGION
352653.8;7635766.6;1
352650.2;7635764.5;1
352645.4;7635762.8;1
352636.7;7635763.3;1
352627.4;7635762.7;1
352619.6;7635758.4;1
352615;7635756.7;1
352610.5;7635756.1;1
352600.6;7635758;1
352596.5;7635756.8;1
352592.3;7635754.5;1
352588.3;7635755.2;1
352584.7;7635757;1
352580.2;7635757.3;1
352575.7;7635759.5;1
352572;7635763;1
352565;7635769.2;1
352558.9;7635771.4;1
352553.2;7635772.3;1
352542;7635772.1;1
352529.7;7635770.9;1
352518.5;7635777.9;1
352511.5;7635779;1
352499.4;7635774.3;1
352495;7635773;1
352493.8;7635769.6;1
352490.5;7635764.2;1
352483.8;7635761.4;1
352478.5;7635756.8;1
352474;7635749.9;1
352469.2;7635748.3;1
352465.4;7635750;1
352461;7635746.3;1
352457.4;7635739;1
352455.8;7635730.5;1
352453;7635726.4;1
352440.9;7635728.5;1
352436.5;7635720.5;1
352432.9;7635716;1
352423.6;7635720.5;1
352416.2;7635717.7;1
352410.5;7635712.5;1
352401.8;7635711.5;1
352399.6;7635702.9;1
352395.9;7635699.1;1
352390.2;7635693;1
352378.7;7635690.8;1
352375.2;7635681.6;1
352377.6;7635676;1
352373.9;7635675.7;1
352368.3;7635677.8;1
352363.1;7635670.5;1
352352.1;7635657;1
352335.2;7635631.5;1
352328.9;7635625.2;1
352318.3;7635614.9;1
352310;7635611.3;1
352298.1;7635610.3;1
352283.4;7635609.5;1
352271.6;7635606.3;1
352254;7635604.4;1
352241.9;7635605;1
352238.5;7635596.2;1
352242.3;7635589.2;1
352235.3;7635586;1
352233.6;7635584.4;1
352234;7635578.4;1
352234.1;7635574.3;1
352234;7635568.4;1
352234.9;7635562.8;1
352237.5;7635551.2;1
352223.8;7635561.8;1
352219.1;7635575.6;1
352209.1;7635596.6;1
352194.7;7635604.7;1
352177.2;7635604;1
352160.1;7635602.5;1
352148.1;7635602.8;1
352142.8;7635599.6;1
352134.8;7635588.6;1
352126.8;7635579.9;1
352116.2;7635577.7;1
352112.1;7635567.6;1
352112.9;7635556.3;1
352104.2;7635555.6;1
352101.6;7635564.6;1
352088.2;7635575.3;1
352070;7635580.3;1
352059.5;7635579.2;1
352042.7;7635570.9;1
352036.6;7635564.4;1
352046.4;7635546.5;1
352042;7635540.3;1
352036.5;7635546.9;1
352024.2;7635558.1;1
352012.2;7635554.9;1
352017.3;7635543.9;1
352013.7;7635540.7;1
352003.5;7635553;1
351995.8;7635562.5;1
351987.5;7635557.1;1
351986;7635546.9;1
351974;7635555.2;1
351966.8;7635555.6;1
351966;7635551.2;1
351958.4;7635562.1;1
351949.3;7635571.6;1
351945.3;7635554.8;1
351952.5;7635536.3;1
351940.2;7635528.3;1
351928.8;7635526.9;1
351925.7;7635545.4;1
351915.9;7635543.2;1
351908.5;7635538.4;1
351906.5;7635546.9;1
351910.7;7635548.6;1
351909.3;7635555.3;1
351903.5;7635560.6;1
351903.3;7635576.3;1
351903.1;7635586;1
351897.9;7635593;1
351889.4;7635598.5;1
351873.4;7635590.5;1
351863.5;7635578.6;1
351847.3;7635571.7;1
351825.1;7635575.4;1
351815.9;7635579.4;1
351809.1;7635587.2;1
351803;7635595.9;1
